! description at the end of the file
! don't change the number of comment lines!
! 
! n_elements
10
! LIST OF ELEMENTS
H
He
C
N
O
Mg
Si
S 
Fe
Pa
!
! (need PAHs 'Pa' as a separate element for stability issues)
!
! n_species
109
! LIST OF SPECIES
!             < Initial     amu chr H  He C  N  O  Mg Si S  Fe Pa
HCO+          PAH-                        PAH0          H             CO                                          1379  72   8.300e-07   -5.000e-01    0.000e+00    0.000e+00    4.100e+04  ---------
H3O+          PAH-                        PAH0          H             H2O                                         1380  72   8.300e-07   -5.000e-01    0.000e+00    0.000e+00    4.100e+04  ---------
H3+           PAH-                        PAH0          H             H2                                          1381  72   8.300e-07   -5.000e-01    0.000e+00    0.000e+00    4.100e+04  ---------
H3+           PAH-                        PAH0          H             H             H                             1382  72   8.300e-07   -5.000e-01    0.000e+00    0.000e+00    4.100e+04  ---------
CS+           PAH-                        PAH0          CS                                                        1383  72   8.300e-07   -5.000e-01    0.000e+00    0.000e+00    4.100e+04  ---------
CO2+          PAH-                        PAH0          CO2                                                       1384  72   8.300e-07   -5.000e-01    0.000e+00    0.000e+00    4.100e+04  ---------
HCN+          PAH-                        PAH0          HCN                                                       1385  72   8.300e-07   -5.000e-01    0.000e+00    0.000e+00    4.100e+04  ---------
H+            PAH-                        PAH0          H                                                         1386  72   8.300e-07   -5.000e-01    0.000e+00    0.000e+00    4.100e+04  ---------
C+            PAH-                        PAH0          C                                                         1387  72   8.300e-07   -5.000e-01    0.000e+00    0.000e+00    4.100e+04  ---------
He+           PAH-                        PAH0          He                                                        1388  72   8.300e-07   -5.000e-01    0.000e+00    0.000e+00    4.100e+04  ---------
O+            PAH-                        PAH0          O                                                         1389  72   8.300e-07   -5.000e-01    0.000e+00    0.000e+00    4.100e+04  ---------
N+            PAH-                        PAH0          N                                                         1390  72   8.300e-07   -5.000e-01    0.000e+00    0.000e+00    4.100e+04  ---------
CH2+          PAH-                        PAH0          CH2                                                       1391  72   8.300e-07   -5.000e-01    0.000e+00    0.000e+00    4.100e+04  ---------
NH2+          PAH-                        PAH0          NH2                                                       1392  72   8.300e-07   -5.000e-01    0.000e+00    0.000e+00    4.100e+04  ---------
H2CS+         PAH-                        PAH0          H2CS                                                      1393  72   8.300e-07   -5.000e-01    0.000e+00    0.000e+00    4.100e+04  ---------
H2O+          PAH-                        PAH0          H2O                                                       1394  72   8.300e-07   -5.000e-01    0.000e+00    0.000e+00    4.100e+04  ---------
H2+           PAH-                        PAH0          H2                                                        1395  72   8.300e-07   -5.000e-01    0.000e+00    0.000e+00    4.100e+04  ---------
CO+           PAH-                        PAH0          CO                                                        1396  72   8.300e-07   -5.000e-01    0.000e+00    0.000e+00    4.100e+04  ---------
SiH+          PAH-                        PAH0          SiH                                                       1397  72   8.300e-07   -5.000e-01    0.000e+00    0.000e+00    4.100e+04  ---------
OH+           PAH-                        PAH0          OH                                                        1398  72   8.300e-07   -5.000e-01    0.000e+00    0.000e+00    4.100e+04  ---------
HS+           PAH-                        PAH0          HS                                                        1399  72   8.300e-07   -5.000e-01    0.000e+00    0.000e+00    4.100e+04  ---------
O2+           PAH-                        PAH0          O2                                                        1400  72   8.300e-07   -5.000e-01    0.000e+00    0.000e+00    4.100e+04  ---------
CH3+          PAH-                        PAH0          CH3                                                       1401  72   8.300e-07   -5.000e-01    0.000e+00    0.000e+00    4.100e+04  ---------
CN+           PAH-                        PAH0          CN                                                        1402  72   8.300e-07   -5.000e-01    0.000e+00    0.000e+00    4.100e+04  ---------
NO+           PAH-                        PAH0          NO                                                        1403  72   8.300e-07   -5.000e-01    0.000e+00    0.000e+00    4.100e+04  ---------
SO+           PAH-                        PAH0          SO                                                        1404  72   8.300e-07   -5.000e-01    0.000e+00    0.000e+00    4.100e+04  ---------
SO2+          PAH-                        PAH0          SO2                                                       1405  72   8.300e-07   -5.000e-01    0.000e+00    0.000e+00    4.100e+04  ---------
H2+           PAH-                        PAH0          H             H                                           1406  72   8.300e-07   -5.000e-01    0.000e+00    0.000e+00    4.100e+04  ---------
CH4+          PAH-                        PAH0          CH4                                                       1407  72   8.300e-07   -5.000e-01    0.000e+00    0.000e+00    4.100e+04  ---------
e-            PAH0                        PAH-                                                                    1326  71   1.340e-06    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
e-            PAH+                        PAH0                                                                    1327  71   3.500e-05   -5.000e-01    0.000e+00    0.000e+00    4.100e+04  ---------
PAH-          PHOTON                      PAH0          e-                                                        1324  70   2.000e-08    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
PAH0          PHOTON                      PAH+          e-                                                        1325  70   7.850e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
Mg            XELECTRON                   Mg+           XELECTRON     e-                                          1290  62   2.800e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH4           XELECTRON                   CH4+          XELECTRON     e-                                          1291  62   3.500e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
SO2           XELECTRON                   SO2+          XELECTRON     e-                                          1292  62   5.200e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
